U I Ig I' I'g I'' I''g
-0.800000 -0.195211 -0.189000 0.283267 0.281578 0.014523 0.013928
-0.700000 -0.164816 -0.160479 0.287951 0.283217 0.015307 0.012520
-0.600000 -0.135959 -0.131508 0.288509 0.284540 0.012076 0.011002
-0.500000 -0.104280 -0.102777 0.289498 0.285651 0.009874 0.009593
-0.400000 -0.080596 -0.073596 0.291677 0.286555 0.008902 0.007982
-0.300000 -0.051851 -0.044573 0.287577 0.287484 0.010439 0.006430
-0.200000 -0.014853 -0.015884 0.292006 0.288524 0.007449 0.005057
-0.100000 0.013853 0.013820 0.295778 0.288876 0.000375 0.003416
0.000000 0.050458 0.043140 0.294834 0.288753 -0.000344 0.001572
0.100000 0.080750 0.072685 0.290065 0.288869 0.001002 -2.054314E-6
0.200000 0.102956 0.101235 0.288399 0.288876 -0.000854 -0.001267
0.300000 0.126301 0.130504 0.292169 0.288657 -0.004206 -0.002762
0.400000 0.171288 0.159610 0.293118 0.288082 -0.005692 -0.004498
0.500000 0.186702 0.189086 0.293317 0.287565 -0.004983 -0.006351
0.600000 0.222044 0.218156 0.288363 0.286971 -0.009475 -0.008196
0.700000 0.248728 0.246889 0.288973 0.285746 -0.010650 -0.009918
0.800000 0.268855 0.276000 0.292097 0.284900 -0.008984 -0.011823
0.900000 0.310641 0.305070 0.285225 0.283779 -0.014645 -0.013631
1.000000 0.345634 0.333084 0.280143 0.282022 -0.018312 -0.014910
1.100000 0.367948 0.361294 0.283347 0.280293 -0.014989 -0.016203
1.200000 0.377339 0.389620 0.280085 0.278985 -0.013408 -0.017618
1.300000 0.419430 0.417338 0.278661 0.277475 -0.016879 -0.018785
1.400000 0.446429 0.445334 0.275884 0.275569 -0.021143 -0.019882
1.500000 0.483034 0.472617 0.277644 0.273218 -0.026853 -0.021197
1.600000 0.506187 0.500788 0.277025 0.270299 -0.028874 -0.022556
1.700000 0.522802 0.527792 0.265950 0.267537 -0.027252 -0.023393
1.800000 0.559473 0.554309 0.269820 0.264767 -0.029558 -0.024157
1.900000 0.595617 0.581643 0.268473 0.261663 -0.030531 -0.025159
2.000000 0.602154 0.607810 0.258865 0.258777 -0.026484 -0.025857
2.100000 0.642861 0.633637 0.258537 0.256253 -0.027491 -0.026440
2.200000 0.675592 0.659625 0.262598 0.253271 -0.028722 -0.027380
2.300000 0.685036 0.685920 0.256693 0.250607 -0.025344 -0.028218
2.400000 0.714224 0.710955 0.252136 0.248070 -0.027250 -0.028639
2.500000 0.744215 0.736242 0.243749 0.245056 -0.033301 -0.028993
2.600000 0.778296 0.759639 0.232010 0.241564 -0.033532 -0.028969
2.700000 0.789135 0.782897 0.230360 0.238518 -0.027061 -0.028442
2.800000 0.805575 0.805783 0.230798 0.236007 -0.026686 -0.028020
2.900000 0.842877 0.828963 0.226918 0.233080 -0.030034 -0.027722
3.000000 0.860154 0.851208 0.224612 0.230085 -0.029286 -0.027256
3.100000 0.888002 0.873989 0.227156 0.227177 -0.030553 -0.027010
3.200000 0.913698 0.896454 0.220717 0.223920 -0.034734 -0.026930
3.300000 0.929526 0.918346 0.224136 0.220426 -0.031013 -0.026982
3.400000 0.945163 0.941211 0.225382 0.217758 -0.025718 -0.027337
3.500000 0.977462 0.963078 0.212592 0.215099 -0.028585 -0.027269
3.600000 0.974377 0.983851 0.204307 0.212164 -0.026346 -0.026478
3.700000 0.994601 1.004359 0.213072 0.209974 -0.017807 -0.025956
3.800000 1.003414 1.026284 0.213224 0.208378 -0.018392 -0.026053
3.900000 1.046242 1.046858 0.208355 0.206180 -0.023289 -0.026026
4.000000 1.062756 1.067974 0.205561 0.203883 -0.020743 -0.025873
4.100000 1.080552 1.087849 0.197795 0.201961 -0.021336 -0.025782
4.200000 1.114636 1.107546 0.190145 0.199511 -0.025795 -0.025411
4.300000 1.135333 1.126084 0.189221 0.196807 -0.029814 -0.024539
4.400000 1.165185 1.145677 0.200674 0.193607 -0.032813 -0.024139
4.500000 1.173446 1.165829 0.196285 0.190506 -0.025817 -0.024372
4.600000 1.180440 1.184696 0.182121 0.188483 -0.016678 -0.023941
4.700000 1.208956 1.202695 0.186026 0.186795 -0.022578 -0.023460
4.800000 1.249574 1.222062 0.196842 0.183933 -0.029103 -0.024085
